,1c,2c,3c,4c,5c,6c,7c,8c,9c
0,-4.471355459741003,2.2948918866372137,-1.11297729118693,6.917314560552079,-4.719943812322308,-4.984741874510695,0.5137429811348683,-1.0640458326854483,1.9957681788569617
1,6.509673756335475,-1.0610190673667603,0.02374906996050985,-0.8508442554678566,4.636483733479113,-6.856016587398741,4.569807986608126,-4.303251787654003,2.1560707225948477
2,6.44953429971012,-1.7070890129550895,5.872310077725966,1.6120390892354992,-4.019322695137104,-5.81998746139577,-2.398062547880909,-2.770277664397915,-5.830900815236967
3,-1.0609226729816983,3.6417694062067034,-1.861167598701596,2.3879217477942576,2.564493275775881,4.660129586496304,2.626215224180533,-1.3140581682921917,2.218038984890044
4,9.217725904099328,1.1506872692158998,1.1450410584124693,4.670829822048495,-2.6641895491766303,3.778202922100463,-0.7678058674580589,3.2594140208388325,-1.489599717149095
5,3.9410226560307686,0.6406380963318878,0.3563558194009858,-0.37919176853506315,4.597078664076232,-4.972788590135199,-5.415186383291472,7.822862542131555,2.0652719718145534
6,-2.9899417729409823,-2.895341875023575,1.9925832180335623,-5.401112202158423,2.318184548690012,-0.08306708728688557,-5.402937452678544,-3.1867605647917308,-3.286939254272044
7,3.3603984598435317,4.856639752539966,-3.8896571302515373,1.3761962699605548,7.477212369518432,-1.1912025557633776,-1.0490143098417501,2.391851399217067,1.1405860761093043
8,-2.977161481904342,9.218946002597958,-3.3416405718123525,1.12273052282772,-6.953220042538322,-1.9511834729661242,1.48571602702528,0.6729930860483754,2.785022107795337
9,0.679709522732114,-2.293819212287627,5.004512245595568,-5.893750031873559,-2.7906308835029163,-2.743494649532825,6.915990810145117,3.3571840848895698,4.165168662053992
10,3.938906755274308,-5.312488737208868,-3.7543156477889714,-3.538988096440892,-5.360124753064788,3.8333042852873285,4.066309856864209,0.5144407587361252,-6.294295048791519
11,-2.568584649677813,4.853949024046556,-0.9085666914552081,-4.989274189935571,0.2773150532604494,-3.1602778599895807,-2.3239716776562225,-4.928715340117604,0.15789479669530923
12,-0.9816624591394348,3.559464076153773,-2.079063556773543,-7.266046892916315,1.392210065320127,-0.3085542603129481,-0.5460020588269363,-4.6111641797128184,-3.0281264124303755
13,-3.552823870194293,-7.315906430567524,-3.472190671769469,1.5726915908430088,-2.21493207877271,-3.448374484600436,-2.271927131944027,6.998060813152515,2.3032233687615493
14,-4.625731307138736,2.4020195748576407,0.005574622159512037,-3.7860255597118084,-3.040210647945332,3.123557876324761,-6.322228738449406,6.103992830320579,-4.489145622990701
15,3.3217863442620317,-0.2006816180399986,-2.518001516004621,-1.0566861696991188,4.565120536748082,7.602194487418497,-1.5936063860196292,0.4539000967803675,2.550892212179468
16,-6.025760582369519,-5.878653359354231,-1.542520433026482,4.619406677046401,6.109078705353941,0.5855379924632734,3.4234652614018986,-0.5179274634630326,-3.2292014692358944
17,-1.3925371641281943,4.019812839088929,13.008952455248133,1.5402455490962457,0.6984478123461492,6.086888836357355,2.5302726908511572,1.2021552541532297,1.1001091276899637
18,-4.5623228275692105,-0.18301330711798816,-1.6291776854931055,-1.5935726175960758,1.7911967336711099,-0.28636252326265266,9.10714259919149,3.3065573880909818,-3.1040958709075777
19,2.1767660195484675,-5.4721102577593514,-3.161897219428634,-2.504621343476873,-4.835435811867422,4.416573308138239,-2.1144303000061306,-4.564953797518886,10.207578398090234
20,1.2195507060453523,0.38832292801295804,-3.821231726387553,7.544545732772803,-1.4158984699060864,1.9857004523364834,-0.9003931387441608,-4.7609303521724895,-4.78106086507587
*,-5.606270176096268,-4.707017978008475,5.683329173543302,3.896191565634494,1.5870872459941008,-0.2660383397674795,-4.133097444605429,-4.061327123553086,2.687740468558512
