,1c,2c,3c,4c,5c,6c,7c,8c,9c
2725,-1.1783578129751275,0.0457525828948212,-0.09266974939461946,0.054559979328132446,-0.12333781637897775,0.013993237056644165,-0.11692682427694474,0.09965182034213727,-0.05425798126163536
2726,-1.1638846802259175,0.08672681212726843,-0.09226606488000565,0.06278734917500234,-0.12770466974433223,0.024197615776061537,-0.10527361098023857,0.090031228534381,-0.060985942752695706
2727,-1.1464681837920567,0.13058769014274754,-0.09126161090683663,0.07076912123733228,-0.13184168953125486,0.035563973506070566,-0.09223931968101266,0.07909684465414907,-0.06699616317718862
2728,-1.1260815220864495,0.17736508689074706,-0.08960463708669972,0.0783475087520436,-0.1355400279452437,0.04812761676991877,-0.07801959999314396,0.06704536300094863,-0.0719802236158617
2729,-1.1027138222726922,0.22700646960721915,-0.087252239167409,0.08534348217968342,-0.13853783606724235,0.06185202612958071,-0.06284281280898503,0.05409506288361531,-0.07564673476669093
2730,-1.0763736194736653,0.27937673143911407,-0.08418089780985312,0.09156904314232442,-0.14052382111509626,0.07661460882473313,-0.046965177513512535,0.040481011959699394,-0.07774487109218818
2731,-1.0470897366322427,0.3342614440501869,-0.08039737998736618,0.09684143314848712,-0.1411464337099741,0.09219814068739002,-0.03066306406672704,0.026447681373568614,-0.07808559317259657
2732,-1.0149090868291484,0.39137311954318443,-0.07594921223773607,0.10099836781644955,-0.14002886912603307,0.10829000883406752,-0.014223212427372466,0.012239541350962457,-0.07655790791969184
2733,-0.9798913806972297,0.45035943792647654,-0.07093407530874288,0.10391329931253959,-0.13678896378914904,0.1244901907612808,0.0020678237014119423,-0.0019092443384515967,-0.07313855839836698
2734,-0.9421012320340666,0.5108118869453885,-0.06550765383618586,0.10550963449704272,-0.13106189614124447,0.14032750829233542,0.01793334830287246,-0.01578434566198099,-0.06789485555191717
2735,-0.9015985436923916,0.5722731490148854,-0.059889580219067595,0.1057727336460154,-0.12252273177138792,0.15528255370812025,0.033113614264267406,-0.029197881498957346,-0.06098152811368289
2736,-0.8584281944787016,0.6342420401677609,-0.05436703063063864,0.10475838725774086,-0.11090563517172217,0.16881516156608986,0.04736905511337975,-0.04198976961179715,-0.05263316776025375
2737,-0.8126099300232472,0.696175809628299,-0.04929522807716168,0.10259637430887708,-0.09601718395990291,0.18039442875419617,0.06047923213646755,-0.05402157840008792,-0.04315405205632207
2738,-0.7641291099036205,0.7574908430246367,-0.04509366250590894,0.09948774775185101,-0.07774259508005174,0.1895297342626663,0.07223819196431067,-0.06516119474576065,-0.03290704934944917
2739,-0.7129287607506136,0.817563850832931,-0.04223645031099724,0.09569479378346914,-0.05604550087335649,0.1958014460814007,0.0824480316448093,-0.07525773438034915,-0.022303185630217208
2740,-0.6589033962804991,0.8757361169919786,-0.0412351860848181,0.09152326924689831,-0.030963759574051078,0.19888959776294896,0.09091324434696811,-0.08410807235836329,-0.011793256595009493
2741,-0.6018954841678856,0.9313232031522758,-0.04261305728588544,0.08729754919414291,-0.0026052708058475742,0.19859774835703667,0.09743864707840715,-0.09141959659439972,-0.0018621241368197206
2742,-0.5416966801980402,0.983631757446746,-0.04686972090784479,0.08333054652020182,0.0288511636073913,0.19486804118024206,0.10183336399142406,-0.09677871564157614,0.006975761363208
2743,-0.4780587257898224,1.0319839929942496,-0.05443676463608053,0.0798912580273928,0.06314378738260483,0.1877831325379808,0.10392275629877382,-0.09964115872467828,0.014185111080939516
2744,-0.4107234942426269,1.0757491639694714,-0.06562260092874006,0.07717289608793336,0.09989679335413107,0.1775521400644088,0.10356978033668404,-0.0993663754074468,0.019233655772782014
2745,-0.33948562166664603,1.1143799236267713,-0.08054384280237385,0.07526338014420526,0.13856094597896026,0.1644812029319303,0.10070675355996604,-0.09531919506578566,0.021645458963548008
2746,-0.264296432514788,1.1474493912611932,-0.09904168309350046,0.07411818700806877,0.1783203091307141,0.14893315805758048,0.09537575951457078,-0.08704796796865938,0.02109355931317014
2747,-0.18539287875507812,1.174681611510068,-0.12059380861136687,0.07353541020694593,0.21797584716826152,0.13128231606888993,0.08776736428681597,-0.07451041313902461,0.01752270076049747
2748,-0.10338962887350998,1.1959645179630978,-0.1442568746082558,0.0731365633051419,0.25584749394475026,0.1118675903652792,0.07823324989678059,-0.05826200056688679,0.011260555884616134
2749,-0.01923906311494,1.2113337679449645,-0.16869451113823675,0.07236300827792164,0.28976297418348884,0.09094355496242475,0.06724096813407494,-0.03948576419424908,0.0030506443878519536
2750,0.06599945851098786,1.2209223463399648,-0.19232846595729197,0.07050153658982566,0.3171897390645099,0.0686324441898677,0.05525915452461808,-0.01978617655993906,-0.006044128956271731
2751,0.15151832560115167,1.2248840763718383,-0.21358612345524886,0.06675015875524373,0.3355070850233427,0.04489433686567319,0.042613226806892245,-0.0008031789386519386,-0.014851902981669274
2752,0.23706585145980705,1.2233098805277423,-0.2311536744706867,0.06033090350141095,0.34235862021148167,0.019547618694871465,0.029399856029396165,0.016167971433642427,-0.022329918185252703
2753,0.32301170492313375,1.2161552911032347,-0.24414364971574415,0.05065370819099669,0.33602704330048067,-0.0076304864488572635,0.015544526962495423,0.030360610782188494,-0.027733461452930132
2754,0.41011639151991897,1.2031919060637652,-0.25214642842278867,0.03752130900676114,0.3158076667110951,-0.03672198494585652,0.001018203130446663,0.04146169070980159,-0.03067598677117109
2755,0.4991038098086635,1.1839982019909965,-0.25519294933665865,0.021320339162844145,0.28233641921451935,-0.06745200254959022,-0.013870745685200424,0.0493680248646395,-0.031108624600053588
2756,0.5902283224607879,1.158015562536771,-0.2536656482015752,0.003085718726914354,0.2377340884710618,-0.09903269074283708,-0.02827248099214398,0.05394270023902039,-0.029274482394284266
2757,0.6830230802034795,1.124688636788646,-0.24817535856560083,-0.015671357456827732,0.18538164688825212,-0.13016697408491515,-0.040840483456639515,0.05491769406080383,-0.02567375966485972
2758,0.776320101657492,1.0836641295969969,-0.23941630213084752,-0.03335508172194152,0.12927914532683402,-0.15924382779574675,-0.05006443564598498,0.05198549347073381,-0.02103502457225756
2759,0.8684936449430148,1.034964704074018,-0.2280292112414772,-0.048703916496308695,0.07320580589907047,-0.18464574723592062,-0.05474855870034264,0.0450004787308621,-0.01625986578202411
2760,0.9577843998903166,0.9790478900232613,-0.2145141475660322,-0.061003555958847745,0.020041687160964675,-0.20502665527692887,-0.05439911062230242,0.03415489062257874,-0.012317369585965477
